City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kingston,17.997,-76.7936,303.68,62,40,3.09,JM,1738089610
1,waitangi,-43.9535,-176.5597,285.83,90,3,2.23,NZ,1738089126
2,mount pearl,47.5166,-52.7813,277.22,87,75,10.8,CA,1738089612
3,adamstown,-25.066,-130.1015,298.17,67,0,2.14,PN,1738089080
4,port-aux-francais,-49.35,70.2167,278.44,86,93,12.03,TF,1738089071
5,gorom-gorom,14.4439,-0.2361,299.61,12,100,4.43,BF,1738089616
6,klaksvik,62.2266,-6.589,276.62,60,48,1.7,FO,1738089617
7,leava,-14.3,-178.1667,299.99,64,100,1.79,WF,1738089618
8,grand falls-windsor,48.9332,-55.6649,276.21,65,100,3.58,CA,1738089574
9,huarmey,-10.0681,-78.1522,297.18,77,92,3.56,PE,1738089471
10,olonkinbyen,70.9221,-8.7187,269.45,91,98,6.38,SJ,1738089132
11,port isabel,26.0734,-97.2086,291.49,88,100,2.06,US,1738089623
12,papatowai,-46.5619,169.4708,286.11,88,100,5.64,NZ,1738089624
13,bamboo flat,11.7,92.7167,300.2,83,75,1.03,IN,1738089625
14,kenora,49.8167,-94.4337,270.69,80,100,10.29,CA,1738089626
15,turgen,43.4006,77.5933,268.89,76,94,2.89,KZ,1738089627
16,kapshagay,43.8833,77.0833,264.37,91,89,1.97,KZ,1738089628
17,puerto natales,-51.7236,-72.4875,290.4,42,100,9.77,CL,1738089067
18,kiamba,5.9894,124.6242,298.6,75,100,1.77,PH,1738089630
19,mazagao,-0.115,-51.2894,304.68,52,7,2.97,BR,1738089203
20,ushuaia,-54.8,-68.3,287.96,47,75,5.66,AR,1738089195
21,punta arenas,-53.15,-70.9167,288.21,55,75,11.83,CL,1738089634
22,itoman,26.1247,127.6694,286.36,54,75,7.2,JP,1738089635
23,rongelap,11.1635,166.8941,299.24,82,97,8.48,MH,1738089636
24,dongola,19.1667,30.4833,291.27,28,0,5.17,SD,1738089637
25,tiksi,71.6872,128.8694,246.85,93,100,7.1,RU,1738089638
26,grytviken,-54.2811,-36.5092,283.04,52,1,4.84,GS,1738089082
27,al bawiti,28.3492,28.8659,287.43,58,6,4.28,EG,1738089597
28,edinburgh of the seven seas,-37.0676,-12.3116,288.21,74,47,12.59,SH,1738089094
29,port mathurin,-19.6833,63.4167,299.85,78,21,6.61,MU,1738089643
30,northam,51.0333,-4.2167,281.37,85,73,3.13,GB,1738089644
31,talnakh,69.4865,88.3972,247.98,86,10,3.47,RU,1738089103
32,iqaluit,63.7506,-68.5145,260.0,60,100,3.09,CA,1738089081
33,blackmans bay,-43.0167,147.3167,283.22,74,0,2.41,AU,1738089143
34,chebba,35.2372,11.115,290.09,66,1,4.04,TN,1738089648
35,margaret river,-33.95,115.0667,289.13,77,1,5.33,AU,1738088851
36,isafjordur,66.0755,-23.124,272.17,74,100,3.09,IS,1738089158
37,bentiu,9.2333,29.8333,299.48,15,0,2.38,SS,1738089652
38,ettelbruck,49.8475,6.1042,280.64,93,99,7.71,LU,1738089653
39,tralee,52.2704,-9.7026,280.29,87,75,4.12,IE,1738089620
40,nikolayevsk-on-amure,53.1406,140.73,255.97,98,100,2.27,RU,1738089655
